name, definition location, definition-adapting, calling-convention-adapting, scope-adapting, call-site-context-adapting, thunkizing, metaprogramming, nested invocations, correct classification, notes
Qpost_self_insert_hook, extracted_programs/emacs-28.1/src/globals.h:7616:10, False, False, True, False, False, False, True, true, captures a function decl
MI_LRI_FORCE_POSTED, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/gt/intel_gpu_commands.h:157:11, True, False, False, False, False, False, False, true, enum
iQdumped_with_pdumper, extracted_programs/emacs-28.1/src/globals.h:2136:9, False, False, False, False, False, False, True, true, also metaprogramming; invocation was constructed from token-pasting
SWAP_MAP_SHMEM, extracted_programs/linux-6.2-rc2/include/linux/swap.h:220:9, False, False, True, False, False, False, False, false, definition-adapting; on RHS of ==; passed to a function call
SHMDT, extracted_programs/linux-6.2-rc2/include/uapi/linux/ipc.h:72:9, False, False, False, False, False, False, False, false, definition-adapting; case labels
IBS_FETCH_ENABLE, extracted_programs/linux-6.2-rc2/arch/x86/include/asm/perf_event.h:448:9, True, False, False, False, False, False, False, true, enum
IoTYPE_APPEND, extracted_programs/perl-5.36.0/sv.h:1530:9, False, False, False, False, False, False, True, true, also definition-adapting
RCVLPC_STATSCTRL, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.h:1017:9, False, False, False, False, False, False, True, true, also definition-adapting
ANYOFD, extracted_programs/perl-5.36.0/regnodes.h:220:9, False, False, False, False, False, False, True, true, also definition-adapting
PCI_VENDOR_ID_USR, extracted_programs/linux-6.2-rc2/include/linux/pci_ids.h:2357:9, False, False, False, False, False, False, True, true, also definition-adapting
LEVEL_DMT, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/drm_edid.c:103:9, True, False, False, False, False, False, False, true, enum
HAVE_DECL_FGETS_UNLOCKED, extracted_programs/emacs-28.1/src/config.h:475:9, False, False, False, True, False, False, False, true, invoked in static conditional
SvSetSV_and, extracted_programs/perl-5.36.0/sv.h:2283:9, False, False, False, False, False, False, True, true, none
VIRTIO_SCSI_MEMPOOL_SZ, extracted_programs/linux-6.2-rc2/drivers/scsi/virtio_scsi.c:36:9, True, False, False, False, False, False, False, true, enum
I915_PARAM_HAS_EXEC_SOFTPIN, extracted_programs/linux-6.2-rc2/include/uapi/drm/i915_drm.h:618:9, True, False, False, False, False, False, False, true, enum
DEFAULT_TARGET_LOW, extracted_programs/linux-6.2-rc2/security/selinux/ss/policydb.h:69:9, True, False, False, False, False, False, False, true, enum
ICL_DSC0_RC_RANGE_PARAMETERS_1, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:2293:9, False, False, False, True, False, False, False, false, calling-convention-adapting; scope-adapting; expression statement
PERL_ARGS_ASSERT__INVLIST_DUMP, extracted_programs/perl-5.36.0/proto.h:6079:9, False, False, False, True, False, False, False, true, expands to a sequence of asserts
IOMMU_PTE_PR, extracted_programs/linux-6.2-rc2/drivers/iommu/amd/amd_iommu_types.h:367:9, False, False, False, False, False, False, True, true, also definition-adapting
NVRAM_CFG1_5752PAGE_SIZE_MASK, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.h:1985:10, True, False, False, False, False, False, False, true, enum
HEK_BASESIZE, extracted_programs/perl-5.36.0/hv.h:422:9, False, False, False, False, False, False, True, true, also call-site-context-adapting; defined to a non-ICE
node_online_map, extracted_programs/linux-6.2-rc2/include/linux/nodemask.h:528:9, False, False, False, False, False, False, True, true, also calling-convention-adapting
PAN_LOG_FILENAME, extracted_programs/ncsa-mosaic-af1c9aaaa299da3540faa16dcab82eb681cf624e/src/pan.c:123:9, True, False, False, False, False, False, False, true, string constant
SDE_GMBUS_CPT, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:5887:9, True, False, False, False, False, False, False, true, enum
OHCI1394_HCControl_LPS, extracted_programs/linux-6.2-rc2/drivers/firewire/ohci.h:28:10, True, False, False, False, False, False, False, true, enum
MAC_RCV_VALUE_11, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.h:578:9, False, False, False, False, False, False, True, true, also definition-adapting
VIRTIO_PCI_COMMON_DFSELECT, extracted_programs/linux-6.2-rc2/include/uapi/linux/virtio_pci.h:186:9, False, False, False, False, False, False, True, true, also definition-adapting
sub_crush_depth, extracted_programs/perl-5.36.0/embed.h:1498:9, False, False, True, False, False, False, False, true, function alias
ENABLE_NLS, extracted_programs/gawk-5.1.1/config.h:9:9, False, False, False, True, False, False, False, true, invoked in a static conditional
BTN_Y, extracted_programs/linux-6.2-rc2/include/uapi/linux/input-event-codes.h:389:9, True, False, False, False, False, False, False, true, enum
MI_INVALIDATE_TLB, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/gt/intel_gpu_commands.h:165:11, True, False, False, False, False, False, False, true, enum
PTY_TYPE_SLAVE, extracted_programs/linux-6.2-rc2/include/linux/tty_driver.h:564:9, True, False, False, False, False, False, False, true, enum
SvRX, extracted_programs/perl-5.36.0/regexp.h:281:11, False, False, True, False, False, False, False, true, function alias
SNDRV_SEQ_PORT_CAP_SUBS_WRITE, extracted_programs/linux-6.2-rc2/include/uapi/sound/asequencer.h:407:9, False, False, False, False, False, False, True, true, also definition-adapting
ACPI_OSI_WINSRV_2008, extracted_programs/linux-6.2-rc2/include/acpi/actypes.h:1300:9, True, False, False, False, False, False, False, true, enum
LUA_OPBOR, extracted_programs/lua-5.4.4/src/lua.h:213:9, False, False, False, False, False, False, False, false, definition-adapting; numeric constant; case label
CLEARHPAGEFLAG, extracted_programs/linux-6.2-rc2/include/linux/hugetlb.h:598:9, False, False, False, False, False, False, True, true, also metaprogramming
BTN_BASE2, extracted_programs/linux-6.2-rc2/include/uapi/linux/input-event-codes.h:373:9, True, False, False, False, False, False, False, true, enum
CEC_OP_STATUS_REQ_OFF, extracted_programs/linux-6.2-rc2/include/uapi/linux/cec.h:805:9, True, False, False, False, False, False, False, true, enum
POSIXL_SET, extracted_programs/perl-5.36.0/regcomp.h:677:9, False, True, False, False, False, False, True, true, none
TASK_NORMAL, extracted_programs/linux-6.2-rc2/include/linux/sched.h:122:9, False, False, True, False, False, False, True, true, also definition-adapting
QOPR_CLOCK_X2, extracted_programs/linux-6.2-rc2/drivers/tty/serial/8250/8250_pci.c:1273:9, True, False, False, False, False, False, False, true, enum
t_vichangewholeline, extracted_programs/zsh-5.9/Src/Zle/zle_things.h:266:9, False, False, False, False, False, False, True, true, also call-site-context-adapting because defined to an address; invoked in a non-c file
PerlLIO_read, extracted_programs/perl-5.36.0/iperlsys.h:795:11, False, False, False, False, False, False, False, false, calling-convention-adapting; scope-adapting; generic; function alias; RHS of assignment; in comparison; invoked by `read` macro
AC_PAR_FUNCTION_TYPE, extracted_programs/linux-6.2-rc2/include/sound/hda_verbs.h:130:9, True, False, False, False, False, False, False, true, enum
size_overflow_p, extracted_programs/gzip-1.12/lib/xsize.h:100:9, False, False, False, False, False, False, True, true, also generic
RKL_PW_4_POWER_DOMAINS, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/display/intel_display_power_map.c:1009:9, False, False, False, False, False, False, True, true, also expands to an unguarded comma
IOAM6_GENL_NAME, extracted_programs/linux-6.2-rc2/include/uapi/linux/ioam6_genl.h:12:9, True, False, False, False, False, False, False, true, string constant
__BLIST_HIGH_UNUSED, extracted_programs/linux-6.2-rc2/include/scsi/scsi_devinfo.h:74:9, False, False, False, False, False, False, True, true, invoked within itself
GMBUS_PIN_3_BXT, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/display/intel_gmbus.h:25:9, True, False, False, False, False, False, False, true, enum
COL_DI, extracted_programs/zsh-5.9/Src/Zle/complist.c:169:9, True, False, False, False, False, False, False, true, enum
regtail, extracted_programs/perl-5.36.0/embed.h:1119:9, False, False, False, False, False, False, True, true, also definition-adapting
PORT_LINK_STROBE, extracted_programs/linux-6.2-rc2/drivers/usb/host/xhci.h:360:9, True, False, False, False, False, False, False, true, enum
rcu_sleep_check, extracted_programs/linux-6.2-rc2/include/linux/rcupdate.h:410:9, False, False, True, False, False, False, False, true, expands to `do { } while (0)`
do_print, extracted_programs/perl-5.36.0/embed.h:1335:9, False, False, True, False, False, False, False, true, function alias
t_viundochange, extracted_programs/zsh-5.9/Src/Zle/zle_things.h:364:9, False, False, False, False, False, False, True, true, also calling-convention-adapting; defined to a memory address and invoked in a non-c file
USB_DEVICE_ID_APPLE_GEYSER3_ANSI, extracted_programs/linux-6.2-rc2/drivers/hid/hid-ids.h:102:9, False, False, False, False, False, False, True, true, also definition-adapting
TGL_UNCORE_PCI_IMC_MAP_SIZE, extracted_programs/linux-6.2-rc2/arch/x86/events/intel/uncore_snb.c:1321:9, True, False, False, False, False, False, False, true, enum
pr_fmt, extracted_programs/linux-6.2-rc2/net/core/netprio_cgroup.c:8:9, False, False, False, False, False, False, True, true, string concatenates an argument
TSO_MAX_SEGS, extracted_programs/linux-6.2-rc2/include/linux/netdevice.h:2323:9, False, False, False, True, False, False, False, true, also definition-adapting; expanded as RHS of an assignment statement
PERL_ARGS_ASSERT_ISLB, extracted_programs/perl-5.36.0/proto.h:6360:9, False, False, False, True, False, True, False, true, expands to a series of asserts
ETHTOOL_GGRO, extracted_programs/linux-6.2-rc2/include/uapi/linux/ethtool.h:1587:9, True, False, False, False, False, False, False, true, enum
iQmaximized, extracted_programs/emacs-28.1/src/globals.h:2852:9, False, False, False, False, False, False, True, true, also metaprogramming; invocation was constructed from token-pasting
IPV6_2292RTHDR, extracted_programs/linux-6.2-rc2/include/uapi/linux/in6.h:160:9, False, False, False, False, False, False, False, false, not classified; definition-adapting; numeric constant; expanded in conditional expr; expanded in case label; expanded in function call argument; expanded on RHS of comparison
Qoverlay, extracted_programs/emacs-28.1/src/globals.h:7576:10, False, False, False, False, False, False, True, true, also scope-adapting; defined to a function call
PF_WANPIPE, extracted_programs/linux-6.2-rc2/include/linux/socket.h:272:9, True, False, False, False, False, False, False, true, enum
TX_WAKE_THRESHOLD, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/intel/e1000e/netdev.c:1269:9, True, False, False, False, False, False, False, true, multiple definitions; all enums
PLATFORM_NAME, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/intel_device_info.c:38:9, False, False, False, True, False, True, False, true, token-pasting
SECCLASS_NETLINK_ROUTE_SOCKET, extracted_programs/linux-6.2-rc2/security/selinux/flask.h:35:9, True, False, False, False, False, False, False, true, enum
inhibit_menubar_update, extracted_programs/emacs-28.1/src/globals.h:1065:9, False, True, True, False, False, False, True, true, expands to global struct variable field
FATTR4_WORD0_LINK_SUPPORT, extracted_programs/linux-6.2-rc2/include/linux/nfs4.h:399:9, False, False, False, False, False, False, True, true, calling-convetion-adapting; maybe scope-adapting; defined to a field of a global struct variable
CVSADM_REP, extracted_programs/cvs-1.11.21/src/cvs.h:153:9, True, False, False, False, False, False, False, true, string constant
GEN7_CXT_TOTAL_SIZE, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/gt/intel_gt_regs.h:237:11, False, False, False, False, False, False, True, true, also definition-adapting
TCA_DUMP_FLAGS_TERSE, extracted_programs/linux-6.2-rc2/include/uapi/linux/rtnetlink.h:643:9, False, False, False, False, False, False, True, true, also definition-adapting
PCI_CLASS_BRIDGE_CARDBUS, extracted_programs/linux-6.2-rc2/include/linux/pci_ids.h:67:9, False, False, False, False, False, False, True, true, also definition-adapting
brace_whitespace, extracted_programs/bash-5.2-rc1/braces.c:58:9, False, False, False, True, False, False, False, true, expands an argument in a short-circuiting operation but actually definition-adapting
USB_ENDPOINT_XFER_CONTROL, extracted_programs/linux-6.2-rc2/include/uapi/linux/usb/ch9.h:433:9, False, False, False, False, False, False, True, true, also definition-adapting
any_width, extracted_programs/xfig-3.2.8b/src/w_icons.c:1934:9, True, False, False, False, False, False, False, true, enum
AC_AMPCAP_MIN_MUTE, extracted_programs/linux-6.2-rc2/include/sound/hda_verbs.h:294:9, True, False, False, False, False, False, False, true, enum
PAGE_MAPCOUNT_RESERVE, extracted_programs/linux-6.2-rc2/include/linux/page-flags.h:919:9, False, False, True, False, False, False, False, false, appears to be definition-adapting; on RHS of <
DSPCLK_GATE_D, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:1572:9, False, False, False, True, False, False, False, false, should be definition-adapting; expression statement; passed to function call; nested invocations
tolstream, extracted_programs/lua-5.4.4/src/liolib.c:158:9, True, False, False, False, False, False, False, true, function
TAINT_MACHINE_CHECK, extracted_programs/linux-6.2-rc2/include/linux/panic.h:58:9, False, False, True, False, False, False, False, false, definition-adapting to enum; passed to a function call; used as a designated initializer
Vprint_circle, extracted_programs/emacs-28.1/src/globals.h:515:9, False, True, True, False, False, False, True, true, defined to a field of a global struct variable
EXT4_S_ERR_END, extracted_programs/linux-6.2-rc2/fs/ext4/ext4.h:1424:9, False, False, False, False, False, False, True, true, also scope-adapting
FS_DQ_BIGTIME, extracted_programs/linux-6.2-rc2/include/uapi/linux/dqblk_xfs.h:132:9, False, False, True, False, False, False, False, false, definition-adapting; on RHS of &; on RHS of |=
do_intl, extracted_programs/gawk-5.1.1/awk.h:1181:9, False, False, True, False, False, False, False, false, should also be calling-convention-adapting; invoked in &&
iQoblique, extracted_programs/emacs-28.1/src/globals.h:3070:9, False, False, False, False, False, False, True, true, also metaprogramming; invocation was constructed from token-pasting
TRACE_FLAGS_MAX_SIZE, extracted_programs/linux-6.2-rc2/kernel/trace/trace.h:191:9, False, False, False, False, False, False, True, true, also definition-adapting
PERL_SYS_TERM_BODY, extracted_programs/perl-5.36.0/unixish.h:155:11, False, False, False, True, False, False, False, true, defined to a sequence of nested macro invocations
