Program,Time
bc,0:0:00:34:775764
rcs,0:0:01:52:926085
m4,0:0:03:06:039551
remind,0:0:03:35:354290
gzip,0:0:03:48:673063
cvs,0:0:04:36:227811
enscript,0:0:04:36:236589
bison,0:0:05:07:782903
lua,0:0:06:28:996382
mosaic,0:0:07:45:411383
flex,0:0:09:05:620724
gv,0:0:15:01:913510
bash,0:0:21:19:347030
gawk,0:0:26:53:226076
fvwm,0:0:27:38:057647
xfig,0:0:31:51:024155
gnuplot,0:0:50:57:536140
zsh,0:0:59:03:428856
perl,0:13:43:16:844816
emacs,0:16:27:11:782821
linux,16:23:30:20:447940
